assembly_quantity,item,item_quantity,price
461,469948e2-01c4-4d01-86d6-dde48dfaffe8,68,427.36
77,8da8a98a-485c-4fde-b8b1-3be890bb6d84,11,283.96
185,1399533e-9eca-4a70-b88d-a68c2fa9d943,70,297.75
33,1f17da4d-957c-4e19-a31e-b8f943bc8e78,48,877.21
13,51313a15-a946-46e6-8cb5-94a73a869ec6,1,281.4
418,5e8bde39-6e6a-46da-9594-2f5e6129d9aa,32,532.1
326,5842bb1a-bc83-41cd-bf3c-babf52318d75,85,559.9
216,0886233a-4b5e-4360-a574-b7445903cd23,56,55.84
185,31c7a6fc-13fd-4d3e-9260-9d1b01efb446,42,253.5
449,f4a29d62-9d38-4133-9a33-25e5134fe491,75,81.51
124,249e7df9-c9eb-4ff1-a8e6-69bc4e333797,33,28.72
271,31b158a9-3be2-4249-94a4-f14b31211ac3,88,131.22
230,ac82d952-c88c-4fa9-be7f-7cc39ba95bb5,57,958.17
178,795611bd-1af9-42fc-b2ef-bada20fd6b73,27,965.1
8,5f51d23b-d541-4ed4-bce2-fdcebe41a189,12,220.57
427,56b8002b-299a-4923-82a1-68ea1da43c3d,42,476
315,9773a3f9-ac91-4021-bf14-28e28edce6c7,30,213.23
440,db1fd338-209c-473a-88ca-5a314499ae00,69,596.47
161,52e5137b-d9db-44cb-8150-62955de27e29,58,116.48
345,dfcc2503-fcf6-415f-8cec-8486753d9d5b,36,783.49
308,184bda77-fc2a-4e67-a10f-24a7876ccbfe,36,913.1
453,8bc17954-670a-42f8-8bde-9f4fcaf638b0,42,256.63
479,f980fcc7-0f80-46a9-9d6b-bdd0af2290f8,80,977.93
434,c87ae7dd-1e13-454e-bf83-f4f6fa1c791a,95,57.6
217,8e62bd59-bb8f-48ea-822f-9b543bd4d1be,53,309.61
381,ae86a6f2-ee2b-496b-bee2-ada0654ca3aa,70,725.72
331,9222c333-6949-461f-b700-b74304597f7d,28,156.44
195,1ded0f50-034e-4eb2-be8d-88a34522a728,26,856.61
345,14efb7fb-3d19-4894-bf96-484c9ddfe961,100,473.39
251,12f42e08-0307-43e5-a2a2-ddcc8835946a,6,202.28
319,c3dbf3dc-b92b-4a94-bee8-65626003ac68,1,178.58
236,4579547d-c93b-4bc8-a96a-73b9d5fad617,25,464.96
376,e846341d-20fc-4335-9ea6-0c9b8a9b9f50,42,519.89
385,97886c6e-66fc-4b3b-87d2-17c782d281ea,17,182.73
210,d80af397-f373-4f4b-a3d5-6a3631f3486d,5,19.39
385,531c54e2-16a3-4574-a280-541692f963d0,99,119.4
287,e5ae172d-321e-4f2d-8294-711308393f98,39,21.64
94,d0bc7ddc-ede8-4c00-b49b-1a42d52a7a8a,89,904.92
331,0d195f7d-5c25-47af-96e2-bd5647b38e24,79,968.26
206,1b94f69e-a916-41ce-a0a3-3026938df543,34,100.3
153,88681ffd-a0a2-49c9-9afb-6bd9c81f0ec0,79,688.78
175,8dc5b1ce-8e6e-46b5-a874-7714a4a923e1,28,901.95
87,411d9ce4-2935-494e-b3c6-05597ad36902,36,204.94
223,5ae6af1f-f0d9-44b7-a113-ebf52b96115e,69,461.71
324,a55dff21-4a35-473d-afb4-8e7760ddd8a2,80,593.81
166,f3576c66-4c81-473f-ad3b-42c43a794014,6,79.63
141,4d8e606a-7114-469b-a1fe-5b8d7bcd73c9,21,972.77
283,5b870336-4fe6-4927-ae72-dedef0c594c9,36,101.17
431,e851e804-e09b-4891-aa47-caa5f80c5b0e,72,642.49
267,f0212734-468e-4b16-84d0-578428fc40fc,45,81.4
254,d783512d-ce48-40cf-bd6b-94b6a2d40933,87,800.16
153,af3ef254-8d34-417f-902a-d1d57297e118,31,199.8
360,27a31a11-a56d-4bb9-893b-46c8cf61ccba,63,536.61
304,ef5a4724-ac11-4239-a0e3-a7ea2498226a,95,686.5
465,934ac7cc-d4ca-41bf-8f08-6994e56ce3fc,25,332.61
117,c08e10e6-c12d-48b8-9aaa-7f34cb519855,96,641.43
94,feb1cbf7-e567-44ec-96de-31a29fefdbca,60,357.49
261,06ad2473-41c9-4e6d-8803-a30e819c9eeb,87,406.92
130,79683852-2b32-4df7-94dd-8d4affb9b2eb,52,487.98
304,b34e7ae2-7e92-4e30-82f1-12774db458be,84,258.36
87,171ecad3-bdfd-416c-bcde-9e723bcbcc61,43,875.56
411,13b00f53-dfe2-4d42-8d49-c2a5583558c7,73,553.2
118,893eb67f-8403-4ec0-bb06-17976b415f93,70,657.44
393,7ce4ae03-55f0-437a-ad29-15993f654a57,26,537.94
75,b71355ed-839f-4905-b052-1e1efbc86349,7,39.95
252,c178e647-8a6d-4002-ac27-05a797c0ffb0,51,921.1
446,d7116604-a521-4647-bb4c-3891d4d16588,69,851.61
165,dd7c149d-713b-4cc9-b38e-35f7b7c3a947,13,912.77
493,8824b26d-655d-4d82-9b53-5b94d8dc2009,61,138.94
96,284699b4-5b7e-422b-bffa-7103cbe83e8b,71,332.93
390,50eb8c8c-3a00-42aa-a7a5-1bfa14569b1e,82,119.9
301,f1a6bbb7-d258-46e0-acb3-9f99285146ce,13,270.95
423,a3258d1e-0655-4da0-82e7-f7946dd748b3,94,98.79
129,223852ed-cb7f-406e-83b5-5111c47c5e12,22,716.96
273,68acf517-7a97-4dca-bc4c-4ab7a0b5915a,12,168.4
353,5fa7961d-7b42-40d9-a4e3-88deeb6126d1,30,999.19
69,b65a7282-fd0d-4b3f-9670-12b03b0fff2a,73,305.34
148,b493572f-6a3e-4209-aa70-d78b00d67af7,60,149.95
171,8165d043-e1a4-4c42-9336-2f895de87c98,54,98.17
460,aa195f51-0296-4f19-b43a-707ae2626485,51,279.26
4,bc4b8811-aead-4845-984b-68dc0f9dfeca,66,118.86
331,33afc5eb-caf4-4b96-8bfc-794db27fec93,4,139.44
182,37f2015e-0aa3-4f5a-82a4-81e2645d092c,34,952.91
4,405d9008-9270-4d47-96f7-9db9c67893da,16,931.41
134,8ceafb60-cecc-443d-b6bd-44dee4138b84,6,966.34
189,a62ed514-599d-4872-ac58-2807e45632d6,83,229.99
337,f53a8954-b696-4eb2-be52-d26e4fb7d8f7,63,25.79
29,4ecd2eb5-50e4-44e7-b040-00166201607a,14,267.64
378,a7e0f046-5bdf-4456-8f02-39d71c2e1055,18,195.29
451,10e7a57b-bc85-4201-8a45-f761318b5416,61,847.21
83,5b3cdc6f-feaa-4af0-8cd7-1a6600b02314,14,38.48
14,4bcdea54-e05b-43b6-89de-7a44470bc521,47,674.9
90,b4b0c1be-ad51-4d45-a598-4c32727e7606,74,317.9
342,0cf49ed2-79d1-42ac-ab3a-dbf56a8feb76,7,715.71
491,dce7d952-7785-47e7-8d82-6c348820f342,72,525.86
