item,price
469948e2-01c4-4d01-86d6-dde48dfaffe8,427.36
8da8a98a-485c-4fde-b8b1-3be890bb6d84,283.96
1399533e-9eca-4a70-b88d-a68c2fa9d943,297.75
1f17da4d-957c-4e19-a31e-b8f943bc8e78,877.21
51313a15-a946-46e6-8cb5-94a73a869ec6,281.40
5e8bde39-6e6a-46da-9594-2f5e6129d9aa,532.10
5842bb1a-bc83-41cd-bf3c-babf52318d75,559.90
0886233a-4b5e-4360-a574-b7445903cd23,55.84
31c7a6fc-13fd-4d3e-9260-9d1b01efb446,253.5
f4a29d62-9d38-4133-9a33-25e5134fe491,81.51
249e7df9-c9eb-4ff1-a8e6-69bc4e333797,28.72
31b158a9-3be2-4249-94a4-f14b31211ac3,131.22
ac82d952-c88c-4fa9-be7f-7cc39ba95bb5,958.17
795611bd-1af9-42fc-b2ef-bada20fd6b73,965.10
5f51d23b-d541-4ed4-bce2-fdcebe41a189,220.57
56b8002b-299a-4923-82a1-68ea1da43c3d,476.0
9773a3f9-ac91-4021-bf14-28e28edce6c7,213.23
db1fd338-209c-473a-88ca-5a314499ae00,596.47
52e5137b-d9db-44cb-8150-62955de27e29,116.48
dfcc2503-fcf6-415f-8cec-8486753d9d5b,783.49
184bda77-fc2a-4e67-a10f-24a7876ccbfe,913.1
8bc17954-670a-42f8-8bde-9f4fcaf638b0,256.63
f980fcc7-0f80-46a9-9d6b-bdd0af2290f8,977.93
c87ae7dd-1e13-454e-bf83-f4f6fa1c791a,57.60
8e62bd59-bb8f-48ea-822f-9b543bd4d1be,309.61
ae86a6f2-ee2b-496b-bee2-ada0654ca3aa,725.72
9222c333-6949-461f-b700-b74304597f7d,156.44
1ded0f50-034e-4eb2-be8d-88a34522a728,856.61
14efb7fb-3d19-4894-bf96-484c9ddfe961,473.39
12f42e08-0307-43e5-a2a2-ddcc8835946a,202.28
c3dbf3dc-b92b-4a94-bee8-65626003ac68,178.58
4579547d-c93b-4bc8-a96a-73b9d5fad617,464.96
e846341d-20fc-4335-9ea6-0c9b8a9b9f50,519.89
97886c6e-66fc-4b3b-87d2-17c782d281ea,182.73
d80af397-f373-4f4b-a3d5-6a3631f3486d,19.39
531c54e2-16a3-4574-a280-541692f963d0,119.40
e5ae172d-321e-4f2d-8294-711308393f98,21.64
d0bc7ddc-ede8-4c00-b49b-1a42d52a7a8a,904.92
0d195f7d-5c25-47af-96e2-bd5647b38e24,968.26
1b94f69e-a916-41ce-a0a3-3026938df543,100.30
88681ffd-a0a2-49c9-9afb-6bd9c81f0ec0,688.78
8dc5b1ce-8e6e-46b5-a874-7714a4a923e1,901.95
411d9ce4-2935-494e-b3c6-05597ad36902,204.94
5ae6af1f-f0d9-44b7-a113-ebf52b96115e,461.71
a55dff21-4a35-473d-afb4-8e7760ddd8a2,593.81
f3576c66-4c81-473f-ad3b-42c43a794014,79.63
4d8e606a-7114-469b-a1fe-5b8d7bcd73c9,972.77
5b870336-4fe6-4927-ae72-dedef0c594c9,101.17
e851e804-e09b-4891-aa47-caa5f80c5b0e,642.49
f0212734-468e-4b16-84d0-578428fc40fc,81.4
d783512d-ce48-40cf-bd6b-94b6a2d40933,800.16
af3ef254-8d34-417f-902a-d1d57297e118,199.8
27a31a11-a56d-4bb9-893b-46c8cf61ccba,536.61
ef5a4724-ac11-4239-a0e3-a7ea2498226a,686.50
934ac7cc-d4ca-41bf-8f08-6994e56ce3fc,332.61
c08e10e6-c12d-48b8-9aaa-7f34cb519855,641.43
feb1cbf7-e567-44ec-96de-31a29fefdbca,357.49
06ad2473-41c9-4e6d-8803-a30e819c9eeb,406.92
79683852-2b32-4df7-94dd-8d4affb9b2eb,487.98
b34e7ae2-7e92-4e30-82f1-12774db458be,258.36
171ecad3-bdfd-416c-bcde-9e723bcbcc61,875.56
13b00f53-dfe2-4d42-8d49-c2a5583558c7,553.2
893eb67f-8403-4ec0-bb06-17976b415f93,657.44
7ce4ae03-55f0-437a-ad29-15993f654a57,537.94
b71355ed-839f-4905-b052-1e1efbc86349,39.95
c178e647-8a6d-4002-ac27-05a797c0ffb0,921.1
d7116604-a521-4647-bb4c-3891d4d16588,851.61
dd7c149d-713b-4cc9-b38e-35f7b7c3a947,912.77
8824b26d-655d-4d82-9b53-5b94d8dc2009,138.94
284699b4-5b7e-422b-bffa-7103cbe83e8b,332.93
50eb8c8c-3a00-42aa-a7a5-1bfa14569b1e,119.90
f1a6bbb7-d258-46e0-acb3-9f99285146ce,270.95
a3258d1e-0655-4da0-82e7-f7946dd748b3,98.79
223852ed-cb7f-406e-83b5-5111c47c5e12,716.96
68acf517-7a97-4dca-bc4c-4ab7a0b5915a,168.40
5fa7961d-7b42-40d9-a4e3-88deeb6126d1,999.19
b65a7282-fd0d-4b3f-9670-12b03b0fff2a,305.34
